tab 	sites
age	age_sigma	age_unit	citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	geologic_classes	geologic_types	groups	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011GC003910	6.0	-1.2	-11.9	122.3	7.0	8.0	0	Igneous:Extrusive	Lava Flow	DG9	-30.752	Basalt	Naude's Nek	28.0297	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND56	6.098021135037803	3.098821813613978	65.23721131141335	25.179602609002405
179.2	1.8	Ma	10.1029/2011GC003910	6.4	-2.9	-29.7	90.5	8.0	8.0	0	Igneous:Extrusive	Lava Flow	8	-30.752	Basalt	Naude's Nek	28.0288	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND57	7.085394364782847	3.9220947894137907	74.93084687367119	17.242996672522995
179.2	1.8	Ma	10.1029/2011GC003910	9.9	-0.5	-19.5	34.1	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG7	-30.751	Basalt	Naude's Nek	28.0266	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND58	10.341549341888424	5.401396100541054	69.28446787632362	26.634616042684847
179.2	1.8	Ma	10.1029/2011GC003910	11.4	16.3	-23.3	44.1	6.0	6.0	0	Igneous:Extrusive	Lava Flow	<NA>	-30.754	Basalt	Naude's Nek	28.0243	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	ND59	12.134130616961837	6.4577686767320435	66.06271200937076	70.57525273246937
179.2	1.8	Ma	10.1029/2011GC003910	4.4	-2.4	-18.8	295.6	6.0	6.0	0	Igneous:Extrusive	Lava Flow	DG7	-30.753	Basalt	Naude's Nek	28.0208	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND60	4.582069122505891	2.3858360731161263	68.78895862186897	21.469077154032753
179.2	1.8	Ma	10.1029/2011GC003910	4.0	68.2	-68.3	189.5	8.0	8.0	0	Igneous:Extrusive	Lava Flow	OM11	-28.764	Basalt	Oxbow-Moteng Pass	28.5767	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP24	6.736885714635817	5.67320364150802	35.39688894326274	163.3978576610945
179.2	1.8	Ma	10.1029/2011GC003910	3.7	86.2	-70.9	274.2	7.0	8.0	0	Igneous:Extrusive	Lava Flow	OM10	-28.765	Basalt	Oxbow-Moteng Pass	28.5749	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP23	6.4379118773924375	5.600906667712241	25.384053451869946	169.61265749943448
179.2	1.8	Ma	10.1029/2011GC003910	2.2	64.3	-69.0	612.7	8.0	8.0	0	Igneous:Extrusive	Lava Flow	OM9	-28.765	Basalt	Oxbow-Moteng Pass	28.5741	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP22	3.7383801456085117	3.1762468438817977	37.820987954575855	164.57515346777464
179.2	1.8	Ma	10.1029/2011GC003910	3.6	94.9	-72.8	234.3	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG-OM8	-28.765	Basalt	Oxbow-Moteng Pass	28.5727	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP21	6.4083479922908655	5.703739443096993	21.699505003962408	174.20751460350542
179.2	1.8	Ma	10.1029/2011GC003910	7.4	97.9	-76.6	83.3	6.0	8.0	0	Igneous:Extrusive	Lava Flow	DG-OM8	-28.765	Basalt	Oxbow-Moteng Pass	28.57	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP20	13.7348184940493	12.74629993678911	22.494928627238107	181.10919712671256
179.2	1.8	Ma	10.1029/2011GC003910	5.9	38.8	-63.1	104.0	7.0	8.0	0	Igneous:Extrusive	Lava Flow	OM7	-28.766	Basalt	Oxbow-Moteng Pass	28.5694	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP19	9.287908584922564	7.310614057786291	55.524555169161616	156.53127301726846
179.2	1.8	Ma	10.1029/2011GC003910	7.1	6.4	-40.0	89.4	6.0	8.0	0	Igneous:Extrusive	Lava Flow	OM6	-28.766	Basalt	Oxbow-Moteng Pass	28.5687	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP18	8.5466643860044	5.144047332887039	81.6795572534164	73.82909549417356
179.2	1.8	Ma	10.1029/2011GC003910	7.8	114.7	17.2	77.4	6.0	7.0	0	Igneous:Extrusive	Lava Flow	DG-OM5	-28.766	Basalt	Oxbow-Moteng Pass	28.5677	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP17	8.069081585871269	4.1737229256055635	-25.82321460929699	122.68612434396647
179.2	1.8	Ma	10.1029/2011GC003910	5.9	121.5	19.2	88.6	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG-OM5	-28.766	Basalt	Oxbow-Moteng Pass	28.5668	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP16	6.154905929000015	3.2104124571897925	-32.261142016861044	125.17735206810296
179.2	1.8	Ma	10.1029/2011GC003910	8.2	116.1	25.0	50.3	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG-OM5	-28.765	Basalt	Oxbow-Moteng Pass	28.5659	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP15	8.811371951713744	4.73416315069803	-29.00232038396304	119.0331699929574
179.2	1.8	Ma	10.1029/2011GC003910	10.9	138.4	18.4	32.3	7.0	8.0	0	Igneous:Extrusive	Lava Flow	<NA>	-28.764	Basalt	Oxbow-Moteng Pass	28.5617	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	MP14	11.331600543928795	5.890145453539783	-46.51843678002187	136.43010862854143
179.2	1.8	Ma	10.1029/2011GC003910	4.3	135.7	23.2	198.3	7.0	8.0	0	Igneous:Extrusive	Lava Flow	OM4	-28.762	Basalt	Oxbow-Moteng Pass	28.5534	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MP13	4.574449114070506	2.433207522932609	-45.58524985173577	131.18434254815872
