tab 	sites
age	age_unit	bed_dip	bed_dip_direction	citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
2054	Ma	11.0	41.0	10.1111/j.1365-246X.2009.04346.x	3.5	338.7	70.4	222.52	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.542833333333334	Gabbronorite	Main Zone Western Lobe	27.334333333333333	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-25	6.052539416857228	5.233319056087203	7.840986814024601	15.05317432988075
2054	Ma	11.0	40.0	10.1111/j.1365-246X.2009.04346.x	2.2	329.5	69.2	545.75	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.547666666666668	Gabbronorite	Main Zone Western Lobe	27.331833333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-26	3.747834003397261	3.192331753868348	7.289158561122442	9.300624128706131
2054	Ma	8.0	30.0	10.1111/j.1365-246X.2009.04346.x	5.2	344.3	75.0	170.07	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.546333333333333	Gabbronorite	Main Zone Western Lobe	27.354333333333333	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-27	9.490054912842409	8.659725216227342	1.7287980310201805	20.00748202462606
2054	Ma	10.0	84.0	10.1111/j.1365-246X.2009.04346.x	5.9	345.1	74.4	171.57	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.535833333333333	Gabbronorite	Main Zone Western Lobe	27.3425	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-28a	10.696581282356062	9.696343316105937	2.7947375617273833	20.132094744921325
2054	Ma	10.0	84.0	10.1111/j.1365-246X.2009.04346.x	9.1	166.4	-55.6	71.23	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.535833333333333	Gabbronorite	Main Zone Western Lobe	27.3425	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-28b	13.008088950782614	9.297273524806197	-27.00424360885548	195.0361827266856
2054	Ma	11.0	42.0	10.1111/j.1365-246X.2009.04346.x	2.9	328.9	72.8	369.55	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.533333333333335	Gabbronorite	Main Zone Western Lobe	27.339333333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-29	5.162280327123195	4.594678995828134	2.305230719056966	11.549015909845268
2054	Ma	10.0	42.0	10.1111/j.1365-246X.2009.04346.x	2.4	329.2	69.1	658.06	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.525333333333332	Gabbronorite	Main Zone Western Lobe	27.3285	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-30	4.083389833846333	3.4737651114915797	7.354468654439398	9.06625541837727
2054	Ma	11.0	36.0	10.1111/j.1365-246X.2009.04346.x	2.2	332.5	73.6	645.67	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.5505	Gabbronorite	Main Zone Western Lobe	27.36616666666667	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-31	3.9526714720270206	3.5508208558582397	1.9633890643427068	13.811635694054678
2054	Ma	11.0	37.0	10.1111/j.1365-246X.2009.04346.x	1.5	325.9	79.1	1375.97	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.558166666666665	Gabbronorite	Main Zone Western Lobe	27.372	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-32	2.850980461317257	2.709363196937586	-7.707313386084808	15.640049412564636
2054	Ma	11.0	35.0	10.1111/j.1365-246X.2009.04346.x	3.1	334.5	75.1	277.45	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.566833333333335	Gabbronorite	Main Zone Western Lobe	27.371	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-33	5.663690589784091	5.173772757549816	0.0871743183771177	15.702664592020787
2054	Ma	10.0	37.0	10.1111/j.1365-246X.2009.04346.x	2.2	331.9	75.0	652.97	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.575166666666668	Gabbronorite	Main Zone Western Lobe	27.3895	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-34	4.015023232356405	3.663729899173106	-0.26678495094758664	14.534545820862043
2054	Ma	11.0	26.0	10.1111/j.1365-246X.2009.04346.x	2.9	331.7	72.9	288.13	10.0	11	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.548000000000002	Gabbronorite	Main Zone Western Lobe	27.429	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-35	5.168324172379616	4.6054439225523165	2.8072563580820407	13.026250462118353
2054	Ma	10.0	40.0	10.1111/j.1365-246X.2009.04346.x	3.7	324.0	69.5	220.17	8.0	11	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.530333333333335	Gabbronorite	Main Zone Western Lobe	27.3675	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-36	6.327015363035438	5.4096112708224915	5.27971162859259	6.666048453943625
