tab 	locations
age	age_sigma	age_unit	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_sites	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	result_type	sites
180	5	Ma	Sani Pass	2.277929213231834	146.40149597214227	40.60017246917094	12022.469550042562	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-10	Outcrop	29.33	27.82	a	SP-20:SP-19
180	5	Ma	Sani Pass	7.642725768427705	152.09752146575954	39.05004266930884	1069.9152206794092	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-11	Outcrop	29.33	27.82	a	SP-21a:SP-21
180	5	Ma	Sani Pass		146.1	36.8		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-12	Outcrop	29.33	27.82	i	SP-22
180	5	Ma	Sani Pass	3.538504200034037	152.64081247997078	59.50916851967563	4983.575609097344	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-2	Outcrop	29.33	27.82	a	SP-4:SP-2
180	5	Ma	Sani Pass	6.14628590304038	178.00983830130093	54.114181007591895	1653.1841381751874	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-3	Outcrop	29.33	27.82	a	SP-10:SP-8
180	5	Ma	Sani Pass		177.8	61.8		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-4	Outcrop	29.33	27.82	i	SP-11
180	5	Ma	Sani Pass		187.1	69.5		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-5	Outcrop	29.33	27.82	i	SP-13
180	5	Ma	Sani Pass		164.3	54.7		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-6	Outcrop	29.33	27.82	i	SP-14
180	5	Ma	Sani Pass		154.2	39.7		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-7	Outcrop	29.33	27.82	i	SP-15
180	5	Ma	Sani Pass		159.7	40.4		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-8	Outcrop	29.33	27.82	i	SP-16
180	5	Ma	Sani Pass		140.0	41.0		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GSP-9	Outcrop	29.33	27.82	i	SP-18
180	5	Ma	Sani Pass		160.0	60.1		1	Igneous:Extrusive	-29.07	-30.76	Basalt	N/A	Outcrop	29.33	27.82	i	SP-17
180	5	Ma		3.9232592510145743	340.242246413395	-55.10578049210192	49.2492372478928	28	Igneous:Extrusive	-29.07	-30.76	Basalt	Mafika	Stratigraphic Section	29.33	27.82	a	M-26:M-82:M-41:M-17:M-55:M-64:M-51:M-35:M-29:M-37:M-89:M-53:M-49:M-27:M-86:M-22:M-11:M-43:M-69:M-18:M-15:M-9:M-33:M-101:M-1:M-100:M-84:M-71:M-88:M-30:M-24:M-13:M-76:M-39:M-95:M-91:M-21:M-45:M-67:M-3:M-66:M-59:M-47:M-93:M-61:M-80:M-7
180	5	Ma		9.577542301888796	167.9768788880726	63.48914574272042	92.99790029534351	4	Igneous:Extrusive	-29.07	-30.76	Basalt	Nazareth	Stratigraphic Section	29.33	27.82	a	N-4:N-3:N-5:N-1:N-2
180	5	Ma		13.108008364074355	152.97082367165248	44.53305747750565	89.5053992818439	3	Igneous:Extrusive	-29.07	-30.76	Basalt	Rhodes	Stratigraphic Section	29.33	27.82	a	R-3:R-6:R-2:R-1
180	5	Ma		7.07205233217758	156.82572694595441	50.10854754318198	35.32891806127135	13	Igneous:Extrusive	-29.07	-30.76	Basalt	Sani Pass	Stratigraphic Section	29.33	27.82	a	SP-21:SP-14:SP-17:SP-20:SP-15:SP-1:SP-10:SP-8:SP-13:SP-18:SP-2:SP-4:SP-11:SP-21a:SP-16:SP-19:SP-22
