tab 	sites
age	age_sigma	age_unit	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	geologic_classes	lat_n	lat_s	level_1	lithologies	location	lon_e	lon_w	result_type	samples	site	site_type	time
180	5	Ma	4.8	167.5	60.3	255.0	1.0	Igneous:Extrusive	-29.41	-29.41	68.0	Basalt	Nazareth	27.82	27.82	i	N-3	GN-2	Outcrop	0.0
180	5	Ma	2.3	166.5	72.0	1613.0	1.0	Igneous:Extrusive	-29.41	-29.41	69.0	Basalt	Nazareth	27.82	27.82	i	N-4	GN-3	Outcrop	0.0
180	5	Ma	2.3	171.4	68.3	859.0	1.0	Igneous:Extrusive	-29.41	-29.41	70.0	Basalt	Nazareth	27.82	27.82	i	N-5	GN-4	Outcrop	0.0
180	5	Ma	9.126365640205535	155.18568817854302	51.17301663559937	751.9496605060158	2.0	Igneous:Extrusive	-30.76	-30.76	0.0	Basalt	Rhodes	28.02	28.02	a	R-1:R-6	GR-1	Outcrop	4.474931699999615
180	5	Ma	4.8	159.5	44.0	360.0	1.0	Igneous:Extrusive	-30.76	-30.76	74.0	Basalt	Rhodes	28.02	28.02	i	R-2	GR-2	Outcrop	0.0
180	5	Ma	7.4	145.2	37.9	157.0	1.0	Igneous:Extrusive	-30.76	-30.76	75.0	Basalt	Rhodes	28.02	28.02	i	R-3	GR-3	Outcrop	0.0
180	5	Ma	3.6	152.1	45.9	457.0	1.0	Igneous:Extrusive	-29.6	-29.6	64.0	Basalt	Sani Pass	29.33	29.33	i	SP-1	GSP-1	Outcrop	0.0
180	5	Ma	13.682608419287186	146.4030160132179	40.62694440506045	336.25416121194746	2.0	Igneous:Extrusive	-29.6	-29.6	0.0	Basalt	Sani Pass	29.33	29.33	a	SP-20:SP-19	GSP-10	Outcrop	4.101534700000229
180	5	Ma	12.945943749191896	152.06810233716655	38.63336088473648	375.2488755147584	2.0	Igneous:Extrusive	-29.6	-29.6	0.0	Basalt	Sani Pass	29.33	29.33	a	SP-21a:SP-21	GSP-11	Outcrop	3.842884100000447
180	5	Ma	2.2	146.1	36.8	1188.0	1.0	Igneous:Extrusive	-29.6	-29.6	48.0	Basalt	Sani Pass	29.33	29.33	i	SP-22	GSP-12	Outcrop	0.0
180	5	Ma	7.634141006050204	152.8833614162928	59.5790528558708	1073.318166368352	2.0	Igneous:Extrusive	-29.6	-29.6	0.0	Basalt	Sani Pass	29.33	29.33	a	SP-4:SP-2	GSP-2	Outcrop	3.648679799999627
180	5	Ma	8.2481441107463	177.56541798007018	53.886542874443926	919.9098445377217	2.0	Igneous:Extrusive	-29.6	-29.6	0.0	Basalt	Sani Pass	29.33	29.33	a	SP-10:SP-8	GSP-3	Outcrop	4.793735799999922
180	5	Ma	2.4	177.8	61.8	1044.0	1.0	Igneous:Extrusive	-29.6	-29.6	59.0	Basalt	Sani Pass	29.33	29.33	i	SP-11	GSP-4	Outcrop	0.0
180	5	Ma	2.9	187.1	69.5	1024.0	1.0	Igneous:Extrusive	-29.6	-29.6	58.0	Basalt	Sani Pass	29.33	29.33	i	SP-13	GSP-5	Outcrop	0.0
180	5	Ma	1.8	164.3	54.7	2575.0	1.0	Igneous:Extrusive	-29.6	-29.6	57.0	Basalt	Sani Pass	29.33	29.33	i	SP-14	GSP-6	Outcrop	0.0
180	5	Ma	2.1	154.2	39.7	1923.0	1.0	Igneous:Extrusive	-29.6	-29.6	56.0	Basalt	Sani Pass	29.33	29.33	i	SP-15	GSP-7	Outcrop	0.0
180	5	Ma	5.9	159.7	40.4	247.0	1.0	Igneous:Extrusive	-29.6	-29.6	55.0	Basalt	Sani Pass	29.33	29.33	i	SP-16	GSP-8	Outcrop	0.0
180	5	Ma	1.0	140.0	41.0	9311.0	1.0	Igneous:Extrusive	-29.6	-29.6	53.0	Basalt	Sani Pass	29.33	29.33	i	SP-18	GSP-9	Outcrop	0.0
180	5	Ma						Igneous:Extrusive	-29.6	-29.6		Basalt	Sani Pass	29.33	29.33		SP-17		Outcrop	
