tab 	sites
age	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.4	-1.3	-55.2	162.9	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7596	Basalt	26	28.0736	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN19	6.258406222368578	4.450869141384289	84.91082485364511	220.0562341129171
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	5.7	-19.5	-54.9	97.1	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.759	Basalt	DG25	28.073	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN20	8.077404566711076	5.723198643361837	73.04166845807018	276.9058005734418
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.0	-12.3	-54.8	195.5	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7587	Basalt	DG25	28.0714	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN21	5.661353068585158	4.006364820897324	78.73308745243494	270.8881678383783
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.6	-17.8	-52.4	239.6	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7584	Basalt	DG25	28.0703	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN22	4.948679932682037	3.4013101494624856	74.73889348516876	284.9956122666782
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	1.6	-9.5	-54.4	2283.2	5	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7581	Basalt	DG25	28.0694	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN23	2.253408561312782	1.586828170061794	80.99984743536533	267.949392782194
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.5	-24.6	-59.8	183.4	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.758	Basalt	DG24	28.0688	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN24	6.7857651532597245	5.116289857243774	67.80817504489923	264.78783369345956
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.4	-25.7	-56.4	622.2	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7615	Basalt	DG24	28.0653	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN25	3.465250915128386	2.50165914683294	67.85403681889241	274.87180969275323
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.1	-28.2	-57.3	1010.4	6	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7628	Basalt	DG24	28.0645	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN26B	3.066773002869808	2.2393087264597855	65.7490656400182	273.2525222354237
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.2	-38.9	-61.2	94.5	7	7	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7624	Basalt	DG24	28.0632	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN27	9.520845097324061	7.310200916712867	57.02103443059337	266.65248545930666
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.2	-33.1	-62.1	256.6	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7611	Basalt	DG24	28.0636	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN28	4.972045682142566	3.8626934789550815	60.989794059666174	263.0192285854319
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	10.9	-31.1	-54.8	26.8	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7602	Basalt		28.0641	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	NN29	15.427187111894558	10.917344136945209	63.64437494731114	279.7324001562739
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	1.3	-30.2	-46.6	1694.7	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7594	Basalt	DG23	28.0641	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN30	1.6726336125865617	1.0760396930593739	63.58811488450608	296.6594423558021
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.4	-29.4	-48.8	161.3	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7591	Basalt	DG23	28.0641	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN31	5.80051151667709	3.8234015744435847	64.65411635781955	292.7993549246802
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	5.1	-27.0	-49.2	117.9	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7592	Basalt	DG23	28.0627	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN32	6.753818505401024	4.471967098421309	66.76354109759927	292.7671366505542
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.0	-18.9	-58.2	225.4	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.758	Basalt	22	28.0609	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN33	5.908852640054836	4.364317440235378	72.53419850140857	265.2119618564651
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.7	7.4	-59.2	189.9	4	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7569	Basalt	21	28.062	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN34	10.025257751010752	7.50043231150755	78.9810904757846	176.97837670731096
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.0	-16.5	-54.3	93.0	6	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7542	Basalt	20	28.063	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN35A	9.846561698167932	6.9253412339876945	75.5626420222298	277.30116092638934
