tab 	sites
age	age_sigma	age_unit	citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	geologic_classes	geologic_types	groups	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
181.1	1.0	Ma	10.1002/2016JB013354	7.0	327.7	-38.4	74.6	7	8	0	Igneous:Extrusive	Lava Flow	OM37	-28.8105	Basalt	Oxbow	28.7213	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX01	8.30377913957105	4.92519628562681	60.00672998402535	305.1388187177206
181.1	1.0	Ma	10.1002/2016JB013354	6.9	336.6	-49.6	94.7	6	8	0	Igneous:Extrusive	Lava Flow	OM36	-28.809	Basalt	Oxbow	28.7193	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX02	9.179261531567333	6.105713207602308	69.62955113285811	288.3701518581622
181.1	1.0	Ma	10.1002/2016JB013354	10.0	339.8	-40.8	49.5	6	8	0	Igneous:Extrusive	Lava Flow	<NA>	-28.8157	Basalt	Oxbow	28.7199	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	OX04	12.128733281389616	7.355308550554406	71.0787038447648	310.8477302840064
181.1	1.0	Ma	10.1002/2016JB013354	6.2	332.9	-54.7	97.4	7	8	0	Igneous:Extrusive	Lava Flow	OM35	-28.8153	Basalt	Oxbow	28.7182	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX05	8.764272373293869	6.194554051071141	66.22928267045239	276.11405641520554
181.1	1.0	Ma	10.1002/2016JB013354	2.1	332.7	-68.4	671.9	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM34	-28.8132	Basalt	Oxbow	28.7156	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX06	3.5413769556095374	2.986035890886255	59.45072685976521	242.78373281506683
181.1	1.0	Ma	10.1002/2016JB013354	7.1	334.2	-72.9	62.7	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM34	-28.8129	Basalt	Oxbow	28.7151	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX07	12.653483318584575	11.275397189697053	55.473497869351455	232.44342455649357
181.1	1.0	Ma	10.1002/2016JB013354	3.2	335.4	-73.7	294.3	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM34	-28.8126	Basalt	Oxbow	28.7149	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX08	5.7559137799516575	5.1766474128495945	54.906582502061916	230.1560225333132
181.1	1.0	Ma	10.1002/2016JB013354	13.2	325.3	-82.5	39.7	5	7	0	Igneous:Extrusive	Lava Flow	<NA>	-28.8113	Basalt	Oxbow	28.7127	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	OX09	25.750139284310144	25.116275498536854	40.50148019442347	219.7022961671957
181.1	1.0	Ma	10.1002/2016JB013354	3.6	312.0	-67.1	243.7	8	8	0	Igneous:Extrusive	Lava Flow	OM33	-28.8108	Basalt	Oxbow	28.7119	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX10	5.970526220240037	4.950997687024135	48.28834323680743	254.8304863169177
181.1	1.0	Ma	10.1002/2016JB013354	3.1	317.9	-62.2	310.9	8	8	0	Igneous:Extrusive	Lava Flow	OM32	-28.81	Basalt	Oxbow	28.7108	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX11	4.822968790776416	3.7517787027102143	53.45092166385501	263.48484445305
181.1	1.0	Ma	10.1002/2016JB013354	1.8	328.2	-54.1	972.8	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM31	-28.8079	Basalt	Oxbow	28.7053	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX12	2.5257731464293216	1.7720916631176309	62.4505347100422	278.3316202791588
181.1	1.0	Ma	10.1002/2016JB013354	2.6	327.8	-55.7	459.6	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM31	-28.8079	Basalt	Oxbow	28.7045	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX13	3.721236466410402	2.6630001613351113	61.994028499438606	274.95179721285194
181.1	1.0	Ma	10.1002/2016JB013354	3.9	331.2	-54.9	210.1	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM31	-28.8076	Basalt	Oxbow	28.7035	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX14	5.526645229854946	3.9158727559844144	64.82510396843742	276.0444122443612
181.1	1.0	Ma	10.1002/2016JB013354	2.6	327.6	-54.4	453.4	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM31	-28.8075	Basalt	Oxbow	28.7028	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX15	3.6617889121332703	2.578595776350416	61.940886427649374	277.7566407390322
181.1	1.0	Ma	10.1002/2016JB013354	2.1	325.9	-53.0	702.7	8	8	0	Igneous:Extrusive	Lava Flow	DG-OM31	-28.8067	Basalt	Oxbow	28.6998	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX16	2.9076057580885806	2.0128979153499693	60.57655351503467	280.6773286842875
181.1	1.0	Ma	10.1002/2016JB013354	1.9	306.3	-53.2	1234.9	6	6	0	Igneous:Extrusive	Lava Flow	DG-OM30	-28.8042	Basalt	Oxbow	28.6949	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	OX17	2.637053271663383	1.8300131467343579	44.34961182050355	278.2509779842073
