,index,specnum,c0_name,c0_start,c0_stop,c1_name,c1_start,c1_stop
119,2087,cm108a1-119,C2,555,580,C1,500,550
120,2104,cm110a3-120,C2,555,580,C1,500,550
121,2123,cm112a3-121,C2,555,580,C1,500,550
122,2141,cm114a3-122,C2,555,580,C1,500,550
123,2157,cm116a2-123,C2,555,580,C1,500,550
124,2169,cm118a4-124,C2,555,580,C1,500,550
125,2183,pp158a1-125,C2,555,580,C1,500,550
126,2200,pp159a3-126,C2,555,580,C1,500,550
127,2217,pp160b3-127,C2,555,580,C1,500,550
128,2235,pp161c4-128,C2,555,580,C1,500,550
129,2254,pp163d2-129,C2,555,580,C1,500,550
130,2271,pp164b2-130,C2,555,580,C1,500,550
131,2291,pp166b2-131,C2,555,580,C1,500,550
132,2308,pp170b2-132,C2,555,580,C1,500,550
133,2326,pp178c1-133,C2,555,580,C1,500,550
134,2343,pp181d1-134,C2,555,580,C1,500,550
135,2361,pp182a1-135,C2,555,580,C1,500,550
136,2379,pp182b4-136,C2,555,580,C1,500,550
137,2397,pp186b1-137,C2,555,580,C1,500,550
138,2416,cm006b1-138,C2,555,580,C1,500,550
139,2429,cm010b1-139,C2,555,580,C1,500,550
140,2447,cm012c1-140,C2,555,580,C1,500,550
141,2465,cm016a4-141,C2,555,580,C1,500,550
142,2476,cm018b1-142,C2,555,580,C1,500,550
143,2486,cm030b2-143,C2,555,580,C1,500,550
144,2503,cm032b1-144,C2,555,580,C1,500,550
145,2520,cm034b1-145,C2,555,580,C1,500,550
146,2537,cm036b1-146,C2,555,580,C1,500,550
147,2547,cm038a4-147,C2,555,580,C1,500,550
148,2564,cm040a1-148,C2,555,580,C1,500,550
149,2581,cm042a2-149,C2,555,580,C1,500,550
150,2598,cm044c4-150,C2,555,580,C1,500,550
151,2617,cm046b1-151,C2,555,580,C1,500,550
152,2636,cm048b2-152,C2,555,580,C1,500,550
153,2655,cm054a3-153,C2,555,580,C1,500,550
154,2667,cm056a1-154,C2,555,580,C1,500,550
155,2684,cm120a2-155,C2,555,580,C1,500,550
156,2701,cm124a3-156,C2,555,580,C1,500,550
157,2713,cm126a5-157,C2,555,580,C1,500,550
158,2725,cm128a2-158,C2,555,580,C1,500,550
159,2738,cm130a3-159,C2,555,580,C1,500,550
160,2755,cm132a1-160,C2,555,580,C1,500,550
161,2767,cm134a2-161,C2,555,580,C1,500,550
162,2784,cm136a3-162,C2,555,580,C1,500,550
163,2794,smc9902a1-163,C2,555,580,C1,500,550
164,2811,smc9902b1-164,C2,555,580,C1,500,550
165,2828,smc9902c1-165,C2,555,580,C1,500,550
166,2845,smc9902e1-166,C2,555,580,C1,500,550
167,2862,smc9902j1-167,C2,555,580,C1,500,550
168,2879,smc9903a1-168,C2,555,580,C1,500,550
169,2896,smc9903b2-169,C2,555,580,C1,500,550
170,2913,smc9903n1-170,C2,555,580,C1,500,550
171,2930,cm101b2-171,C2,555,580,C1,500,550
172,2944,cm103a1-172,C2,555,580,C1,500,550
